time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2018-01-20T09:00:00Z,10.95,-85.8,25.218
2018-01-20T09:00:00Z,10.95,-85.79,25.238
2018-01-20T09:00:00Z,10.95,-85.78,25.258
2018-01-21T09:00:00Z,10.93,-85.81,25.311
2018-01-21T09:00:00Z,10.93,-85.8,NaN
2018-01-21T09:00:00Z,10.93,-85.79,NaN
2018-01-21T09:00:00Z,10.93,-85.78,NaN
2018-01-21T09:00:00Z,10.94,-85.81,25.297
2018-01-21T09:00:00Z,10.94,-85.8,25.318
2018-01-21T09:00:00Z,10.94,-85.79,NaN
2018-01-21T09:00:00Z,10.94,-85.78,25.362
2018-01-21T09:00:00Z,10.95,-85.81,25.284
2018-01-21T09:00:00Z,10.95,-85.8,25.305
2018-01-21T09:00:00Z,10.95,-85.79,25.326
2018-01-21T09:00:00Z,10.95,-85.78,25.348
2018-01-22T09:00:00Z,10.93,-85.81,25.9
2018-01-22T09:00:00Z,10.93,-85.8,NaN
2018-01-22T09:00:00Z,10.93,-85.79,NaN
2018-01-22T09:00:00Z,10.93,-85.78,NaN
2018-01-22T09:00:00Z,10.94,-85.81,25.85
2018-01-22T09:00:00Z,10.94,-85.8,25.862
2018-01-22T09:00:00Z,10.94,-85.79,NaN
2018-01-22T09:00:00Z,10.94,-85.78,25.877
2018-01-22T09:00:00Z,10.95,-85.81,25.804
2018-01-22T09:00:00Z,10.95,-85.8,25.819
2018-01-22T09:00:00Z,10.95,-85.79,25.831
2018-01-22T09:00:00Z,10.95,-85.78,25.84
2018-01-23T09:00:00Z,10.93,-85.81,26.264
2018-01-23T09:00:00Z,10.93,-85.8,NaN
2018-01-23T09:00:00Z,10.93,-85.79,NaN
2018-01-23T09:00:00Z,10.93,-85.78,NaN
2018-01-23T09:00:00Z,10.94,-85.81,26.219
2018-01-23T09:00:00Z,10.94,-85.8,26.213
2018-01-23T09:00:00Z,10.94,-85.79,NaN
2018-01-23T09:00:00Z,10.94,-85.78,26.197
2018-01-23T09:00:00Z,10.95,-85.81,26.173000000000002
2018-01-23T09:00:00Z,10.95,-85.8,26.17
2018-01-23T09:00:00Z,10.95,-85.79,26.165
2018-01-23T09:00:00Z,10.95,-85.78,26.159
2018-01-24T09:00:00Z,10.93,-85.81,26.301
2018-01-24T09:00:00Z,10.93,-85.8,NaN
2018-01-24T09:00:00Z,10.93,-85.79,NaN
2018-01-24T09:00:00Z,10.93,-85.78,NaN
2018-01-24T09:00:00Z,10.94,-85.81,26.265
2018-01-24T09:00:00Z,10.94,-85.8,26.263
2018-01-24T09:00:00Z,10.94,-85.79,NaN
2018-01-24T09:00:00Z,10.94,-85.78,26.261
2018-01-24T09:00:00Z,10.95,-85.81,26.228
2018-01-24T09:00:00Z,10.95,-85.8,26.227
2018-01-24T09:00:00Z,10.95,-85.79,26.227
2018-01-24T09:00:00Z,10.95,-85.78,26.227
2018-01-25T09:00:00Z,10.93,-85.81,26.453
2018-01-25T09:00:00Z,10.93,-85.8,NaN
2018-01-25T09:00:00Z,10.93,-85.79,NaN
2018-01-25T09:00:00Z,10.93,-85.78,NaN
2018-01-25T09:00:00Z,10.94,-85.81,26.412
2018-01-25T09:00:00Z,10.94,-85.8,26.403
2018-01-25T09:00:00Z,10.94,-85.79,NaN
2018-01-25T09:00:00Z,10.94,-85.78,26.385
2018-01-25T09:00:00Z,10.95,-85.81,26.371
2018-01-25T09:00:00Z,10.95,-85.8,26.363
2018-01-25T09:00:00Z,10.95,-85.79,26.356
2018-01-25T09:00:00Z,10.95,-85.78,26.348
2018-01-26T09:00:00Z,10.93,-85.81,26.14
2018-01-26T09:00:00Z,10.93,-85.8,NaN
2018-01-26T09:00:00Z,10.93,-85.79,NaN
2018-01-26T09:00:00Z,10.93,-85.78,NaN
2018-01-26T09:00:00Z,10.94,-85.81,26.105
2018-01-26T09:00:00Z,10.94,-85.8,26.109
2018-01-26T09:00:00Z,10.94,-85.79,NaN
2018-01-26T09:00:00Z,10.94,-85.78,26.115
2018-01-26T09:00:00Z,10.95,-85.81,26.069
2018-01-26T09:00:00Z,10.95,-85.8,26.074
2018-01-26T09:00:00Z,10.95,-85.79,26.079
2018-01-26T09:00:00Z,10.95,-85.78,26.082
2018-01-27T09:00:00Z,10.93,-85.81,25.595
2018-01-27T09:00:00Z,10.93,-85.8,NaN
2018-01-27T09:00:00Z,10.93,-85.79,NaN
2018-01-27T09:00:00Z,10.93,-85.78,NaN
2018-01-27T09:00:00Z,10.94,-85.81,25.568
2018-01-27T09:00:00Z,10.94,-85.8,25.584
2018-01-27T09:00:00Z,10.94,-85.79,NaN
2018-01-27T09:00:00Z,10.94,-85.78,25.613
2018-01-27T09:00:00Z,10.95,-85.81,25.541
2018-01-27T09:00:00Z,10.95,-85.8,25.557
2018-01-27T09:00:00Z,10.95,-85.79,25.573
2018-01-27T09:00:00Z,10.95,-85.78,25.588
2018-01-28T09:00:00Z,10.93,-85.81,25.648
2018-01-28T09:00:00Z,10.93,-85.8,NaN
2018-01-28T09:00:00Z,10.93,-85.79,NaN
2018-01-28T09:00:00Z,10.93,-85.78,NaN
2018-01-28T09:00:00Z,10.94,-85.81,25.598
2018-01-28T09:00:00Z,10.94,-85.8,25.604
2018-01-28T09:00:00Z,10.94,-85.79,NaN
2018-01-28T09:00:00Z,10.94,-85.78,25.62
2018-01-28T09:00:00Z,10.95,-85.81,25.547
2018-01-28T09:00:00Z,10.95,-85.8,25.556
2018-01-28T09:00:00Z,10.95,-85.79,25.566
2018-01-28T09:00:00Z,10.95,-85.78,25.576
2018-01-29T09:00:00Z,10.93,-85.81,25.476
2018-01-29T09:00:00Z,10.93,-85.8,NaN
2018-01-29T09:00:00Z,10.93,-85.79,NaN
2018-01-29T09:00:00Z,10.93,-85.78,NaN
2018-01-29T09:00:00Z,10.94,-85.81,25.418
2018-01-29T09:00:00Z,10.94,-85.8,25.417
2018-01-29T09:00:00Z,10.94,-85.79,NaN
2018-01-29T09:00:00Z,10.94,-85.78,25.435
2018-01-29T09:00:00Z,10.95,-85.81,25.362
2018-01-29T09:00:00Z,10.95,-85.8,25.361
2018-01-29T09:00:00Z,10.95,-85.79,25.37
2018-01-29T09:00:00Z,10.95,-85.78,25.384
2018-01-30T09:00:00Z,10.93,-85.81,25.489
2018-01-30T09:00:00Z,10.93,-85.8,NaN
2018-01-30T09:00:00Z,10.93,-85.79,NaN
